rep,scenario,iteration_threshold,bin_reference_threshold,n_bins,n_active_bins,active_bin_fraction,first_active_s,last_active_s,active_at_60,active_at_150,active_at_200,active_at_240,active_at_290
D_flush_rep10_1784127218,D_flush,48082.0,415.0,30,30,1.0,0.0,300.0,1,1,1,1,1
D_flush_rep1_1784114542,D_flush,48032.0,290.2,30,30,1.0,0.0,300.0,1,1,1,1,1
D_flush_rep2_1784116155,D_flush,48296.0,158.2,30,30,1.0,0.0,300.0,1,1,1,1,1
D_flush_rep3_1784117531,D_flush,48277.0,733.4,30,26,0.8667,0.0,300.0,1,1,1,1,1
D_flush_rep4_1784118914,D_flush,47971.0,443.8,30,30,1.0,0.0,300.0,1,1,1,1,1
D_flush_rep5_1784120305,D_flush,48064.0,811.8,30,30,1.0,0.0,300.0,1,1,1,1,1
D_flush_rep6_1784121684,D_flush,48026.0,1310.8,30,28,0.9333,10.0,300.0,1,1,1,1,1
D_flush_rep7_1784123080,D_flush,46768.0,764.8,30,28,0.9333,0.0,300.0,1,1,1,1,1
D_flush_rep8_1784124445,D_flush,48041.0,824.0,30,30,1.0,0.0,300.0,1,1,1,1,1
D_flush_rep9_1784125839,D_flush,48030.0,441.8,30,30,1.0,0.0,300.0,1,1,1,1,1
E_single_rule_rep10_1784140959,E_single_rule,48128.0,687.4,30,13,0.4333,40.0,290.0,1,1,1,1,0
E_single_rule_rep1_1784128583,E_single_rule,48297.0,2331.8,30,4,0.1333,0.0,270.0,1,1,1,1,0
E_single_rule_rep2_1784129948,E_single_rule,48037.5,621.3,30,22,0.7333,0.0,300.0,1,1,1,1,1
E_single_rule_rep3_1784131339,E_single_rule,48026.7,1576.0,30,7,0.2333,30.0,290.0,1,1,1,1,0
E_single_rule_rep4_1784132700,E_single_rule,48250.0,809.8,30,4,0.1333,10.0,240.0,1,1,1,0,0
E_single_rule_rep5_1784134084,E_single_rule,48052.0,710.8,30,26,0.8667,10.0,300.0,1,1,1,1,1
E_single_rule_rep6_1784135478,E_single_rule,48257.0,1242.8,30,17,0.5667,20.0,300.0,1,1,1,1,1
E_single_rule_rep7_1784136866,E_single_rule,48350.0,344.0,30,19,0.6333,20.0,300.0,1,1,1,1,1
E_single_rule_rep8_1784138257,E_single_rule,48257.0,444.0,30,19,0.6333,40.0,300.0,1,1,1,1,1
E_single_rule_rep9_1784139588,E_single_rule,48068.8,0.0,30,28,0.9333,0.0,300.0,1,1,1,1,1
F_burst_rep10_1784154758,F_burst,48277.0,1288.6,30,30,1.0,0.0,300.0,1,1,1,1,1
F_burst_rep1_1784142339,F_burst,48048.0,731.8,30,30,1.0,0.0,300.0,1,1,1,1,1
F_burst_rep2_1784143717,F_burst,48289.0,1115.6,30,30,1.0,0.0,300.0,1,1,1,1,1
F_burst_rep3_1784145097,F_burst,48227.0,806.2,30,30,1.0,0.0,300.0,1,1,1,1,1
F_burst_rep4_1784146495,F_burst,48030.0,344.0,30,30,1.0,0.0,300.0,1,1,1,1,1
F_burst_rep5_1784147877,F_burst,48287.0,631.0,30,29,0.9667,0.0,300.0,1,1,1,1,1
F_burst_rep6_1784149273,F_burst,48052.8,824.0,30,0,0.0,,0.0,0,0,0,0,0
F_burst_rep7_1784150643,F_burst,48308.0,318.6,30,30,1.0,0.0,300.0,1,1,1,1,1
F_burst_rep8_1784152031,F_burst,48041.0,432.6,30,30,1.0,0.0,300.0,1,1,1,1,1
F_burst_rep9_1784153396,F_burst,48041.0,616.0,30,29,0.9667,0.0,290.0,1,1,1,1,0
