rep,scenario,surface,excess,count
D_flush_rep10_1784127218,D_flush,200,21483.0,339
D_flush_rep1_1784114542,D_flush,200,14742.0,310
D_flush_rep2_1784116155,D_flush,200,15251.0,332
D_flush_rep3_1784117531,D_flush,200,25535.0,303
D_flush_rep4_1784118914,D_flush,200,24047.0,303
D_flush_rep5_1784120305,D_flush,200,34241.0,311
D_flush_rep6_1784121684,D_flush,200,46414.0,307
D_flush_rep7_1784123080,D_flush,200,27210.0,315
D_flush_rep8_1784124445,D_flush,200,31628.0,318
D_flush_rep9_1784125839,D_flush,200,19444.0,302
E_single_rule_rep10_1784140959,E_single_rule,1,19692.0,316
E_single_rule_rep1_1784128583,E_single_rule,1,62615.0,313
E_single_rule_rep2_1784129948,E_single_rule,1,19880.5,309
E_single_rule_rep3_1784131339,E_single_rule,1,44804.00000000096,330
E_single_rule_rep4_1784132700,E_single_rule,1,21441.0,311
E_single_rule_rep5_1784134084,E_single_rule,1,25510.0,310
E_single_rule_rep6_1784135478,E_single_rule,1,37469.0,326
E_single_rule_rep7_1784136866,E_single_rule,1,11277.0,322
E_single_rule_rep8_1784138257,E_single_rule,1,13867.0,319
E_single_rule_rep9_1784139588,E_single_rule,1,1479.75,223
F_burst_rep10_1784154758,F_burst,21,53680.0,334
F_burst_rep1_1784142339,F_burst,21,30637.0,319
F_burst_rep2_1784143717,F_burst,21,44202.0,326
F_burst_rep3_1784145097,F_burst,21,34994.0,317
F_burst_rep4_1784146495,F_burst,21,24570.0,321
F_burst_rep5_1784147877,F_burst,21,25458.0,313
F_burst_rep6_1784149273,F_burst,21,154.5,2
F_burst_rep7_1784150643,F_burst,21,19031.0,311
F_burst_rep8_1784152031,F_burst,21,20173.0,328
F_burst_rep9_1784153396,F_burst,21,22815.0,310
